编号,1.您从事Android开发工作多久了？,2.您主要从事Android哪些层的开发？:**应用层**（即各种app）,2.您主要从事Android哪些层的开发？:**Framework层** （如Android的各种API）,2.您主要从事Android哪些层的开发？:**Android运行时** （如ART）,2.您主要从事Android哪些层的开发？:**原生库层 **（安卓原生代码自身的Native C/C++ 库）,2.您主要从事Android哪些层的开发？:**操作系统层** （如Drivers，Linux kernel）,2.您主要从事Android哪些层的开发？:**其他**____,2.您主要从事Android哪些层的开发？:**其他**____[选项填空],3.您在项目中使用原生库（Native Library）的频率是？,3.您在项目中使用原生库（Native Library）的频率是？[选项填空],4.您主要使用什么类型的原生库？:**您或您的团队自己开发的原生库**,4.您主要使用什么类型的原生库？:**第三方原生库**（即，由第三方公司开发，发布给其它人用的原生库）,4.您主要使用什么类型的原生库？:**Android系统的原生库**（即，Android系统里自带的原生库）,4.您主要使用什么类型的原生库？:**其他**____,4.您主要使用什么类型的原生库？:**其他**____[选项填空],5.您通常在什么场景中使用原生库？:**性能优化**（例如：执行计算密集型操作，提升处理速度和效率）,5.您通常在什么场景中使用原生库？:**硬件与系统级访问**（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,5.您通常在什么场景中使用原生库？:**复用已有代码**（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,5.您通常在什么场景中使用原生库？:**代码安全与保护**（例如：使用原生库以增加反编译和逆向工程的难度）,5.您通常在什么场景中使用原生库？:**其他**____,5.您通常在什么场景中使用原生库？:**其他**____[选项填空],6.请评估上述场景对您选择和使用原生库的影响程度:**性能优化**（例如：执行计算密集型操作，提升处理速度和效率）,6.请评估上述场景对您选择和使用原生库的影响程度:**硬件与系统级访问**（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,6.请评估上述场景对您选择和使用原生库的影响程度:**复用已有代码**（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,6.请评估上述场景对您选择和使用原生库的影响程度:**代码安全与保护**（例如：使用原生库以增加反编译和逆向工程的难度）,7.您对使用原生库有什么顾虑？:**开发/维护的复杂性**（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,7.您对使用原生库有什么顾虑？:**安全漏洞风险**（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,7.您对使用原生库有什么顾虑？:**兼容性**（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,7.您对使用原生库有什么顾虑？:**性能权衡**（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,7.您对使用原生库有什么顾虑？:**App文件大小**（例如：过多的使用原生库，可能会使App的安装包过大）,7.您对使用原生库有什么顾虑？:**学习成本**（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,7.您对使用原生库有什么顾虑？:**其他**____,7.您对使用原生库有什么顾虑？:**其他**____[选项填空],8.请评估上述因素对您选择和使用原生库的影响程度:**开发/维护的复杂性**（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,8.请评估上述因素对您选择和使用原生库的影响程度:**安全漏洞风险**（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,8.请评估上述因素对您选择和使用原生库的影响程度:**兼容性**（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,8.请评估上述因素对您选择和使用原生库的影响程度:**性能权衡**（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,8.请评估上述因素对您选择和使用原生库的影响程度:**App文件大小**（例如：过多的使用原生库，可能会使App的安装包过大）,8.请评估上述因素对您选择和使用原生库的影响程度:**学习成本**（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,9.您通常如何测试原生库？:**不额外测试原生库**（例如：直接使用第三方开源的.so文件，不做额外测试）,9.您通常如何测试原生库？:**Monkey Test**（例如：通过跑Monkey Test随机触发原生库函数，发现其问题）,9.您通常如何测试原生库？:**测试原生库内部的Native函数**（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),9.您通常如何测试原生库？:**测试原生库向外暴露的函数接口**(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),9.您通常如何测试原生库？:**其他**____,9.您通常如何测试原生库？:**其他**____[选项填空]
11,A.0 - 3 年,A.应用层（即各种app）,,,,,,,C.偶尔使用,,,,C.Android系统的原生库（即，Android系统里自带的原生库）,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,,,,,,3,3,3,3,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,,,,,3,3,4,4,4,3,A.不额外测试原生库（例如：直接使用第三方开源的.so文件，不做额外测试）,,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),,,
12,D.10 年以上,A.应用层（即各种app）,,,,,,,C.偶尔使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,C.Android系统的原生库（即，Android系统里自带的原生库）,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,,,,,3,4,5,2,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,3,3,5,2,2,4,A.不额外测试原生库（例如：直接使用第三方开源的.so文件，不做额外测试）,B.Monkey Test（例如：通过跑Monkey Test随机触发原生库函数，发现其问题）,,,,
13,A.0 - 3 年,A.应用层（即各种app）,B.Framework层 （如Android的各种API）,,,,,,B.经常使用,,A.您或您的团队自己开发的原生库,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,C.Android系统的原生库（即，Android系统里自带的原生库）,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,3,3,3,3,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,,,,,3,3,3,3,3,3,,B.Monkey Test（例如：通过跑Monkey Test随机触发原生库函数，发现其问题）,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),,,
14,A.0 - 3 年,A.应用层（即各种app）,,,,,,,C.偶尔使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,C.Android系统的原生库（即，Android系统里自带的原生库）,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,,,,3,3,4,4,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,E.App文件大小（例如：过多的使用原生库，可能会使App的安装包过大）,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,3,3,3,3,4,3,,,,D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
15,B.3 - 5 年,A.应用层（即各种app）,B.Framework层 （如Android的各种API）,,,,,,C.偶尔使用,,,,C.Android系统的原生库（即，Android系统里自带的原生库）,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,,,,3,3,4,2,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,3,2,3,3,2,3,,B.Monkey Test（例如：通过跑Monkey Test随机触发原生库函数，发现其问题）,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),,,
16,D.10 年以上,,,,D.原生库层 （安卓原生代码自身的Native C/C++ 库）,E.操作系统层 （如Drivers，Linux kernel）,,,A.每个项目都使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,C.Android系统的原生库（即，Android系统里自带的原生库）,,,,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,,,,3,3,5,3,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,4,5,4,3,3,4,,,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
17,D.10 年以上,A.应用层（即各种app）,B.Framework层 （如Android的各种API）,,D.原生库层 （安卓原生代码自身的Native C/C++ 库）,,,,C.偶尔使用,,A.您或您的团队自己开发的原生库,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,,,,,,,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,1,1,1,3,,,,,,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,3,2,3,3,3,5,,,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
18,D.10 年以上,A.应用层（即各种app）,,,,,,,D.很少使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,,,,,,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,,,,4,3,5,5,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,,,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,E.App文件大小（例如：过多的使用原生库，可能会使App的安装包过大）,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,5,2,4,4,4,4,A.不额外测试原生库（例如：直接使用第三方开源的.so文件，不做额外测试）,,,,,
19,B.3 - 5 年,,B.Framework层 （如Android的各种API）,,,E.操作系统层 （如Drivers，Linux kernel）,,,B.经常使用,,,,C.Android系统的原生库（即，Android系统里自带的原生库）,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,,,,,4,4,3,4,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,E.App文件大小（例如：过多的使用原生库，可能会使App的安装包过大）,,,,4,3,3,3,3,3,,B.Monkey Test（例如：通过跑Monkey Test随机触发原生库函数，发现其问题）,,D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
20,C.5 - 10 年,,B.Framework层 （如Android的各种API）,,,,,,C.偶尔使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,C.Android系统的原生库（即，Android系统里自带的原生库）,,,,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,,,,2,5,3,2,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,,,,,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,4,2,2,2,2,3,A.不额外测试原生库（例如：直接使用第三方开源的.so文件，不做额外测试）,,,,,
21,C.5 - 10 年,,,,,,F.其他____________,,C.偶尔使用,,A.您或您的团队自己开发的原生库,,,,,,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,,,,3,3,3,3,,,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,,,,,3,3,3,3,3,3,A.不额外测试原生库（例如：直接使用第三方开源的.so文件，不做额外测试）,,,,,
22,A.0 - 3 年,A.应用层（即各种app）,,,,,,,D.很少使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,,,,,,,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,1,1,1,2,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,E.App文件大小（例如：过多的使用原生库，可能会使App的安装包过大）,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,3,3,3,3,3,3,,,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),,,
23,D.10 年以上,A.应用层（即各种app）,,C.Android运行时 （如ART）,D.原生库层 （安卓原生代码自身的Native C/C++ 库）,,,,B.经常使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,C.Android系统的原生库（即，Android系统里自带的原生库）,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,3,3,3,3,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,,,,,3,3,4,4,4,4,,,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
24,B.3 - 5 年,,,,,,F.其他____________,,C.偶尔使用,,,,C.Android系统的原生库（即，Android系统里自带的原生库）,,,,,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,,,,5,5,3,3,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,4,4,3,3,3,3,,,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),,,
25,C.5 - 10 年,A.应用层（即各种app）,B.Framework层 （如Android的各种API）,,D.原生库层 （安卓原生代码自身的Native C/C++ 库）,,,,B.经常使用,,A.您或您的团队自己开发的原生库,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,C.Android系统的原生库（即，Android系统里自带的原生库）,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,5,5,5,5,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,E.App文件大小（例如：过多的使用原生库，可能会使App的安装包过大）,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,5,5,5,5,5,5,,,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
26,A.0 - 3 年,,,,D.原生库层 （安卓原生代码自身的Native C/C++ 库）,E.操作系统层 （如Drivers，Linux kernel）,,,B.经常使用,,A.您或您的团队自己开发的原生库,,,,,,,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,5,4,5,3,,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,,,,,5,4,4,3,4,4,,B.Monkey Test（例如：通过跑Monkey Test随机触发原生库函数，发现其问题）,,D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
27,A.0 - 3 年,A.应用层（即各种app）,,,,,,,B.经常使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,3,1,4,3,,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,E.App文件大小（例如：过多的使用原生库，可能会使App的安装包过大）,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,2,5,4,1,4,4,,,,D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
28,A.0 - 3 年,A.应用层（即各种app）,,,,,,,D.很少使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,,,,,,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,,,,2,2,2,2,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,2,2,2,2,2,2,A.不额外测试原生库（例如：直接使用第三方开源的.so文件，不做额外测试）,,,,,
29,C.5 - 10 年,A.应用层（即各种app）,B.Framework层 （如Android的各种API）,,,,,,B.经常使用,,A.您或您的团队自己开发的原生库,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,4,4,4,5,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,E.App文件大小（例如：过多的使用原生库，可能会使App的安装包过大）,,,,3,3,3,3,3,2,,,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
30,A.0 - 3 年,A.应用层（即各种app）,,,,,,,B.经常使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,C.Android系统的原生库（即，Android系统里自带的原生库）,,,,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,1,5,3,5,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,5,5,5,3,3,5,,B.Monkey Test（例如：通过跑Monkey Test随机触发原生库函数，发现其问题）,,,,
31,A.0 - 3 年,,B.Framework层 （如Android的各种API）,,,,,,C.偶尔使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,,,,,,3,3,3,3,,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,,,,,3,3,3,3,3,3,,,C.测试原生库内部的Native函数（例如：如:针对原生库中的C/C++ 内部函数和模块编写单元测试用例),,,
32,C.5 - 10 年,A.应用层（即各种app）,B.Framework层 （如Android的各种API）,C.Android运行时 （如ART）,D.原生库层 （安卓原生代码自身的Native C/C++ 库）,,,,A.每个项目都使用,,,,C.Android系统的原生库（即，Android系统里自带的原生库）,,,A.性能优化（例如：执行计算密集型操作，提升处理速度和效率）,B.硬件与系统级访问（例如：直接访问底层硬件和系统资源，实现更精细的控制 ）,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,4,4,4,2,,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,,,,,2,2,4,4,2,2,,,,D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
33,A.0 - 3 年,A.应用层（即各种app）,,,,,,,C.偶尔使用,,,B.第三方原生库（即，由第三方公司开发，发布给其它人用的原生库）,,,,,,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,,,,3,3,4,4,A.开发/维护的复杂性（例如：C/C++ 的内存需要手动管理 。JNI 调用如果处理不当，例如方法签名不匹配，也容易引发问题）,B.安全漏洞风险（例如：原生库本身可能存在安全风险，尤其是在使用第三方原生库时，若其存在安全漏洞，相当于把风险带入了自己的项目）,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,D.性能权衡（例如：虽然Native代码执行效率高，但 Java 与 Native 代码之间的频繁交互（JNI 调用）会带来性能开销 ）,E.App文件大小（例如：过多的使用原生库，可能会使App的安装包过大）,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,4,3,4,4,4,4,,B.Monkey Test（例如：通过跑Monkey Test随机触发原生库函数，发现其问题）,,D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
34,A.0 - 3 年,A.应用层（即各种app）,,,,,,,D.很少使用,,,,C.Android系统的原生库（即，Android系统里自带的原生库）,,,,,C.复用已有代码（例如：集成已有的原生库，使用其特定功能，避免重复造轮子）,D.代码安全与保护（例如：使用原生库以增加反编译和逆向工程的难度）,,,1,1,2,2,,,C.兼容性（例如：不同的 Android 设备使用不同的指令集架构（如 arm， x86），可能需要为目标架构编译对应的库版本）,,E.App文件大小（例如：过多的使用原生库，可能会使App的安装包过大）,F.学习成本（例如：一些原生库可能文档不完善、教程较少，增加了学习成本）,,,3,3,4,2,4,4,,,,D.测试原生库向外暴露的函数接口(例如:编写测试用例，通过JNI调用原生库对外暴露的接口，验证其与 Java/Kotlin层的交互是否正确),,
